english,russian
escalation,эскалация
hostilities,военные действия
reconciliation,примирение
sovereignty,суверенитет
humanitarian aid,гуманитарная помощь
conflict resolution,разрешение конфликта
military intervention,военное вмешательство
geopolitical,геополитический
diplomatic relations,дипломатические отношения
territorial integrity,территориальная целостность
displacement,вынужденное переселение
reconstruction,восстановление
rescuers,спасатели
apartment building,многоквартирный дом
kindergarten,детский сад
missile strike,ракетный удар
destroyed,разрушенный
airstrike,авианалёт
mourning,траур
civilians,гражданские лица
hospital,больница
rubble,обломки
injured,раненый
dead,мертвый
trapped,застрявший
rescue operations,спасательные операции
damaged,повреждённый
terrorists,террористы
debris,мусор
survivors,выжившие
emergency staff,сотрудники службы спасения
maternity center,родильный дом
daylight,дневной свет
attack,атака
volunteers,волонтёры
nurses,медсестры
medical workers,медицинские работники
medical institutions,медицинские учреждения
air defence,противовоздушная оборона
rescue workers,спасатели
response,ответ
hospitalized,госпитализированный
missile,ракета
windows,окна
panels,панели
debris,обломки
patients,пациенты
nurses,медсестры
doctors,врачи
clear debris,очистить обломки
survivors,выжившие
maternity center,родильный дом
mourning,траур
western allies,западные союзники
response,ответ
partners,партнёры
air defence systems,системы ПВО
Patriot batteries,батареи Patriot
infrastructure,инфраструктура
civilian,гражданский
military aid,военная помощь
package,пакет
Nato,НАТО
summit,саммит
missile batteries,ракетные батареи
future-proof,обеспечить в будущем
security council,совет безопасности
rights chief,глава по правам
defence ministry,министерство обороны
hospital blast,взрыв в больнице
defence ministry,министерство обороны
missile,ракета
wreckage,обломки
cruise missile,крылатая ракета
radar,радар
prime minister,премьер-министр
president,президент
speech,речь
military intelligence,военная разведка
oil refinery,нефтеперерабатывающий завод
electricity substation,электроподстанция
security source,источник безопасности
airfield,аэродром
joint operation,совместная операция
captured,захваченный
village,деревня
leaders,лидеры
innocent children,невинные дети
painful,болезненный
terrifying,ужасающий
conflict,конфликт
humanity,человечество
loss of lives,потеря жизней
monitoring mission,миссия по наблюдению
lethal strike,смертельный удар
Secretary General,генеральный секретарь
summit,саммит
urgent task,срочная задача
support,поддержка
press conference,пресс-конференция
substantial package,существенный пакет
coordination,координация
provision,предоставление
security assistance,безопасность помощи
command,командование
three-star general,три-звездный генерал
personnel,персонал
headquarters,штаб-квартира
logistical nodes,логистические узлы
financial pledge,финансовое обязательство
bilateral security agreements,двусторонние соглашения по безопасности
military interoperability,военная совместимость
bridge,мост
membership,членство
deterrence,сдерживание
transformed,преобразованный
high readiness,высокая готовность
capabilities,возможности
combat-ready,боеготовый
battlegroups,боевые группы
accession,присоединение
endorse,поддерживать
transatlantic,трансатлантический
industrial cooperation,промышленное сотрудничество
boost production,увеличить производство
ballistic missile defences,системы противоракетной обороны
Aegis Ashore base,база Aegis Ashore
GDP,ВВП
global partnerships,глобальные партнерства
cooperation,сотрудничество
cyber,кибер
technologies,технологии
authoritarian actors,авторитарные акторы
align,выравнивать
Indo-Pacific,Индо-Тихоокеанский регион
public event,публичное мероприятие
Host Nation Government,правительство принимающей страны
civil society organisations,организации гражданского общества
Summit meetings,встречи на высшем уровне
Heads of State and Government,главы государств и правительств
promote,продвигать
public understanding,общественное понимание
policies,политика
goals,цели
decisions,решения
dialogue,диалог
engagement,взаимодействие
stakeholders,заинтересованные стороны
Ministers,министры
security experts,эксперты по безопасности
opinion formers,формирователи мнений
academics,академики
journalists,журналисты
young people,молодёжь
panel discussions,панельные дискуссии
debates,дебаты
interactive sessions,интерактивные сессии
agenda,повестка дня
co-hosted,совместно организованный
collaboration,сотрудничество
Atlantic Council,Атлантический совет
Center for a New American Security (CNAS),Центр новой американской безопасности (CNAS)
GLOBSEC,ГЛОБСЕК
German Marshall Fund of the United States (GMF),Германский фонд Маршалла США (GMF)
Hudson Institute,Институт Гудзона
bicameral,двухпалатный
bureaucracy,бюрократия
constituency,избирательный округ
executive branch,исполнительная ветвь власти
judiciary,судебная система
legislative process,законодательный процесс
lobbyist,лоббист
political spectrum,политический спектр
sovereign state,суверенное государство
supranational,наднациональный
electoral system,избирательная система
public policy,государственная политика
aesthetic,эстетический
anthropology,антропология
cultural assimilation,культурная ассимиляция
cultural heritage,культурное наследие
folklore,фольклор
intangible cultural heritage,нематериальное культурное наследие
patrimony,отчизна
provenance,происхождение
sociocultural,социокультурный
syncretism,синкретизм
vernacular,народный
worldview,мировоззрение
supermodel,супермодель
model,модель
talent scout,сотрудник по поиску талантов
fashion,мода
runway,подиум
versatility,универсальность
media personality,медийная личность
advocate,защитник
equal rights,равные права
industry,индустрия
exhibition,выставка
outfit,наряд
heels,каблуки
runway,подиум
community service,общественные работы
misdemeanour,проступок
temper,характер
expectations,ожидания
representation,представление
cover girl,девушка с обложки
advertiser,рекламодатель
racism,расизм
role model,образец для подражания
trailblazer,пионер
public reaction,общественная реакция
sponsor,спонсор
subscription,подписка
depiction,изображение
notion,понятие
slavery,рабство
parameters,параметры
characteristics,характеристики
confusion,путаница
civil rights movement,движение за гражданские права
permission,разрешение
gracious,великодушный
representation,представление
pay,оплата
petition,петиция
turning point,поворотный момент
success,успех
edition,издание
advertising revenue,доход от рекламы
diversity,разнообразие
model of colour,модель цветной расы
make-up,макияж
performative tokenism,демонстративный токенизм
inclusion,включение
quota,квота
confidence,уверенность
superstar,суперзвезда
commercial industry,коммерческая индустрия
beauty,красота
celebrate,праздновать
documentary,документальный фильм
iconic,знаковый
fashion week,неделя моды
accessible,доступный
marginalised backgrounds,маргинализированные слои населения
project,проект
appreciation,признание
culture,культура
photographer,фотограф
enabler,пособник
talent,талант
acid rain,кислотный дождь
atmosphere,атмосфера
biosphere,биосфера
balance,баланс
biodiversity,биоразнообразие
carbon,углерод
carbon dioxide,углекислый газ
catastrophe,катастрофа
climate,климат
climate change,изменение климата
dirt,грязь
dust,пыль
drought,засуха
earth,земля
earthquake,землетрясение
ecology,экология
ecosystem,экосистема
energy source,источник энергии
environment,окружающая среда
evolution,эволюция
exhaust gas,выхлопной газ
famine,голод
fertilizer,удобрение
global warming,глобальное потепление
greenhouse effect,парниковый эффект
greenhouse gas,парниковый газ
heat wave,тепловая волна
natural gas,природный газ
nuclear disaster,ядерная катастрофа
nuclear energy,ядерная энергия
oxygen,кислород
ozone hole,озоновая дыра
ozone layer,озоновый слой
poison,яд
pollution,загрязнение
power station,электростанция
rainforest,тропический лес
sea level,уровень моря
toxic waste,токсичные отходы
wind energy,ветровая энергия
to menace,угрожать
to harm,вредить
to leak,протекать
to protect,защищать
to pollute,загрязнять
to contaminate,заражать
to disappear,исчезать
to recycle,перерабатывать
to destroy,разрушать
climate protection,защита климата
sustainability,устойчивость
carbon cycle,углеродный цикл
renewable energy,возобновляемая энергия
deforestation,вырубка лесов
air pollution,загрязнение воздуха
methane,метан
nature reserve,заповедник
extinction of species,вымирание видов
energy efficiency,энергетическая эффективность
solar energy,солнечная энергия
hydropower,гидроэнергия
environmental pollution,загрязнение окружающей среды
emission,выброс
forest dieback,усыхание лесов
environmental protection,защита окружающей среды
recycling,переработка
biogas,биогаз
wastewater,сточные воды
biodiesel,биотопливо
Renewable Energy Act,закон о возобновляемой энергии
greenhouse gas emissions,выбросы парниковых газов
climate neutrality,климатическая нейтральность
updates,обновления
media accreditation,аккредитация СМИ
sessions,сессии
online registration system (ORS),система онлайн-регистрации (ORS)
official channel,официальный канал
cover,освещать
secretariat,секретариат
accreditation materials,аккредитационные материалы
processed,обработаны
documents,документы
press ID,пресс-удостоверение
letter of assignment,письмо о назначении
requirements,требования
applicant details,данные заявителя
consistent,последовательный
up-to-date,обновлённый
admitted,допущены
monitor,отслеживать
confirmation,подтверждение
Registration Acknowledgement Form,форма подтверждения регистрации
inquiries,запросы
valid,действительный
letterhead,бланк
bona fide,добросовестный
UNFCCC Press Office,пресс-служба РКИК ООН
official UN language,официальный язык ООН
duration,продолжительность
functional title,должностное звание
authorized person,уполномоченное лицо
Publisher,издатель
Editor-in-chief,главный редактор
unsigned,без подписи

