NATO Logo,Логотип НАТО
about us,о нас
newsroom,новостной раздел
work with us,работайте с нами
learn more,узнать больше
latest updates,последние обновления
speeches,речи
transcripts,транскрипты
pre-summit,предварительный саммит
Secretary General,генеральный секретарь
pivotal moment,ключевой момент
alliance,альянс
celebrate,отмечать/праздновать
decisive decisions,важнейшие решения
collective defence,коллективная оборона
global partnerships,глобальные партнерства
sustained support,устойчивая поддержка
training,обучение
provision,предоставление
command,командование
personnel,персонал
headquarters,штаб-квартира
logistical nodes,логистические узлы
self-defence,самооборона
financial pledge,финансовое обязательство
deterring,сдерживание
aggression,агрессия
baseline,исходный уровень
sustained level,устойчивый уровень
burden sharing,распределение нагрузки
air defence systems,системы ПВО
bilateral security agreements,двусторонние соглашения по безопасности
interoperability,взаимодействие
joint analysis,совместный анализ
education centre,образовательный центр
innovation,инновация
combat-ready,боеготовность
battlegroups,боевые группы
capabilities,возможности
endurance,стойкость
ballistic missile defences,противоракетная оборона
Aegis Ashore base,база Aegis Ashore
GDP,ВВП
defence spending,расходы на оборону
Asia Pacific,Азиатско-Тихоокеанский регион
authoritarian actors,авторитарные акторы
dual-use goods,товары двойного назначения
rules-based international order,международный порядок, основанный на правилах
polling,опросы
citizens,граждане
accountability,подотчетность
predictability,предсказуемость
nuclear capabilities,ядерные возможности
missile programs,ракетные программы
territorial integrity,территориальная целостность
soverignty,суверенитет
annual support,ежегодная поддержка
military assistance,военная помощь
institutionalized,институционализированный
for the long haul,на долгий срок
Reinforce our collective defence,усилить нашу коллективную оборону
substantial package,существенный пакет
NATO Security Assistance and Training,Помощь НАТО в области безопасности и подготовки
take over the coordination and provision,взять на себя координацию и предоставление
a command led by a three-star general,командование под руководством трехзвездного генерала
enhance Ukraine’s self-defence,усилить самооборону Украины
to affirm their determination to support Ukraine,подтвердить свою решимость поддержать Украину
deterring it in the future,сдерживание в будущем
full-scale invasion,полномасштабное вторжение
to sustain this level,поддерживать этот уровень
for Ukraine to prevail,чтобы Украина одержала победу
will review this level of support,пересмотрят этот уровень поддержки
air defence systems and ammunition,системы ПВО и боеприпасы
NATO-Ukraine Joint Analysis, Training and Education Centre in Poland,Совместный центр анализа, подготовки и образования НАТО-Украина в Польше
to build Ukraine’s defence industry,строить оборонную промышленность Украины
Deterrence and defence,сдерживание и оборона
troops on high readiness,войска в высокой готовности
Combat-ready battlegroups,боеготовые боевые группы
high-end capabilities,высококачественные возможности
fifth generation aircraft,самолеты пятого поколения
highly committed,крайне преданных
set to endorse a pledge,готовы поддержать обязательство
fuelling Russia’s war with drones and shells,снабжение российской войны дронами и снарядами
propping up Russia’s war economy,поддержка военной экономики России
flagship projects,флагманские проекты
helps to uphold,помогает поддерживать
founded on a solemn promise,основан на торжественном обещании
NATO delivers for our shared security,НАТО обеспечивает нашу общую безопасность
released by the Pew Research Centre,выпущенный исследовательским центром Pew
ensure that we continue to protect,обеспечить продолжение защиты
to enhance the cooperation,усилить сотрудничество
give us a little hint,дать нам небольшой намек